powerplay rules odi cricket	
doc_01.txt	0
doc_02.txt	0
doc_03.txt	0
doc_04.txt	0
doc_05.txt	2
doc_06.txt	0
doc_07.txt	0
doc_08.txt	0
doc_09.txt	0
doc_10.txt	0
doc_11.txt	2
doc_12.txt	0
doc_13.txt	0
doc_14.txt	0
doc_15.txt	0
doc_16.txt	0
doc_17.txt	0
doc_18.txt	0
doc_19.txt	0
doc_20.txt	2
doc_21.txt	0
doc_22.txt	0
doc_23.txt	2
doc_24.txt	0
doc_25.txt	0
doc_26.txt	0
doc_27.txt	0
doc_28.txt	0
doc_29.txt	0
doc_30.txt	0
doc_31.txt	0
doc_32.txt	0
doc_33.txt	0
doc_34.txt	0
doc_35.txt	0
doc_36.txt	2
doc_37.txt	0
doc_38.txt	0
doc_39.txt	0
doc_40.txt	0
doc_41.txt	0
doc_42.txt	0
doc_43.txt	0
doc_44.txt	0
doc_45.txt	0
doc_46.txt	0
doc_47.txt	0
doc_48.txt	0
doc_49.txt	0
doc_50.txt	0
